id,nace_kodu,sektor,hedef_yatirim,oncelikli_yatirim,yuksek_teknoloji,orta_yuksek_teknoloji,sartlar,bolge_1,bolge_2,bolge_3,bolge_4,bolge_5,bolge_6,created_at,updated_at
4,01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi,true,true,false,false,"Hedef; 1) Sera Yatırımlarında;
a) 1 ve 2. Bölgelerde asgari 20 dekar,
b) 3. Bölgede asgari 15 dekar,
c) 4 ve 5. Bölgelerde asgari 10 dekar,
d) 6. Bölgede asgari 5 dekar ve üzeri olması şartı aranır.
2) Yapay ışıkla fotosentez sağlanan kontrollü bitkisel üretim yatırımlarında katmanlarının toplam alanının asgari 1.000 m2 olması şartı aranır.
Diğer yatırımlar desteklenmez.
1111,38.32.04,Tehlikeli atıkların düzenli veya kalıcı olarak depolanması (radyoaktif atıklar hariç),true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1112,38.32.05,Radyoaktif atıkların düzenli veya kalıcı olarak depolanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1113,38.33,Diğer atıkların bertarafı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1114,38.33.00,Diğer atıkların bertarafı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1115,42.22.02,"Enerji santralleri inşaatı (hidroelektrik santrali, termik santral, güneş ve rüzgar santrali, nükleer enerji üretim santralleri vb.)",false,true,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1116,42.91.01,"Kıyı ve liman inşaatları ve ilgili hidromekanik yapıların inşaatı (su yolları, kanal vb. dahil)",false,true,false,false,Yük taşımacılığına yönelik liman yatırımları (yat limanı ve marina hariç),12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1117,42.99.04,"Doğalgaz işleme tesisleri inşaatı (Asgari 500 milyon TL tutarındaki, sıvılaştırılmış doğal gaz (LNG) yatırımları ve yer altı doğal gaz depolama yatırımları.)",false,true,false,false,,500000000,500000000,500000000,500000000,500000000,500000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1118,48.1,Demir yolu ile yolcu taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",,,,,,,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1119,49.11,Demir yolu ile yolcu taşımacılığı (ağır raylı sistem),true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1120,49.11.00,Demir yolu ile şehirler arası yolcu taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1121,49.12,Diğer demir yolu ile yolcu taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1122,49.12.00,Diğer demir yolu ile yolcu taşımacılığı (gezi amaçlı taşımacılık dahil),true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1123,49.2,Demir yolu ile yük taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1124,49.20,Demir yolu ile yük taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1125,49.20.01,Demir yolu ile yük taşımacılığı,true,false,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1126,50.10.13,"Kıyı sularında yolcuların feribotlarla, kruvaziyer gemilerle ve teknelerle taşınması (deniz otobüsleri işletmeciliği dahil; uluslararası denizler ile göl ve nehirlerde yapılanlar hariç)",true,false,false,false,"Gezinti amaçlı olanlar hariç. Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1127,50.10.16,Uluslararası denizlerde yolcuların gemilerle taşınması,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1128,50.20,Deniz ve kıyı sularında yük taşımacılığı,true,true,false,false,"50.20.22 hariç. Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1129,50.20.17,"Uluslararası sularda ham petrolün, petrol ürünlerinin ve kimyasalların tanker gemilerle taşınması (gazlar hariç)",true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1130,50.20.18,Uluslararası sularda dökme kuru yük taşınması (kimyasalların taşınması hariç),true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1131,50.20.19,"Uluslararası sularda ve kabotaj hattında çekme ve itme hizmetleri (römorkaj) (mavnaların, petrol kulelerinin vb.nin taşınması) (iç sular hariç)",true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1132,50.20.20,Uluslararası sularda frigorifik gemilerle dondurulmuş veya soğutulmuş malların taşınması,true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1133,50.20.21,Uluslararası sularda çoklu taşıma türüne uygun konteynerlerin konteyner gemileriyle taşınması,true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1134,50.20.23,"Uluslararası sularda diğer dökme sıvıların tanker gemilerle taşınması (ham petrolün, petrol ürünlerinin, gazların ve kimyasalların taşınması hariç)",true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1135,50.20.24,Uluslararası sularda gazların tanker gemilerle taşınması,true,true,false,false,"Demiryolu, denizyolu veya havayolu ile taşımacılık yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
